identifier,objcConstant,family,group,abstract,aggregation,unitFamily,valueEnum,iosIntroduced,watchosIntroduced,deprecated,appleDocumented,appleDocs
"bloodAlcoholContent","HKQuantityTypeIdentifierBloodAlcoholContent","HKQuantityTypeIdentifier","Alcohol consumption","A quantity sample type that measures the user’s blood alcohol content.","discrete","percent",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bloodalcoholcontent"
"bloodGlucose","HKQuantityTypeIdentifierBloodGlucose","HKQuantityTypeIdentifier","Lab and test results","A quantity sample type that measures the user’s blood glucose level.","discrete","mass/volume",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bloodglucose"
"bloodPressureDiastolic","HKQuantityTypeIdentifierBloodPressureDiastolic","HKQuantityTypeIdentifier","Vital signs","A quantity sample type that measures the user’s diastolic blood pressure.","discrete","pressure",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bloodpressurediastolic"
"bloodPressureSystolic","HKQuantityTypeIdentifierBloodPressureSystolic","HKQuantityTypeIdentifier","Vital signs","A quantity sample type that measures the user’s systolic blood pressure.","discrete","pressure",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bloodpressuresystolic"
"bodyFatPercentage","HKQuantityTypeIdentifierBodyFatPercentage","HKQuantityTypeIdentifier","Body measurements","A quantity sample type that measures the user’s body fat percentage.","discrete","percent",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bodyfatpercentage"
"bodyMass","HKQuantityTypeIdentifierBodyMass","HKQuantityTypeIdentifier","Body measurements","A quantity sample type that measures the user’s weight.","discrete","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bodymass"
"bodyMassIndex","HKQuantityTypeIdentifierBodyMassIndex","HKQuantityTypeIdentifier","Body measurements","A quantity sample type that measures the user’s body mass index.","discrete","count",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bodymassindex"
"bodyTemperature","HKQuantityTypeIdentifierBodyTemperature","HKQuantityTypeIdentifier","Vital signs","A quantity sample type that measures the user’s body temperature.","discrete","temperature",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/bodytemperature"
"crossCountrySkiingSpeed","HKQuantityTypeIdentifierCrossCountrySkiingSpeed","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures how fast you are traveling while cross country skiing.","discrete","distance per time",,"18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/crosscountryskiingspeed"
"cyclingCadence","HKQuantityTypeIdentifierCyclingCadence","HKQuantityTypeIdentifier","Activity","A quantity sample type that represents the rate at which the user is pedaling.","discrete","counts per minute",,"17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cyclingcadence"
"cyclingFunctionalThresholdPower","HKQuantityTypeIdentifierCyclingFunctionalThresholdPower","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the estimated maximum average power sustained while riding a bike for 60 minutes.","discrete","power",,"17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cyclingfunctionalthresholdpower"
"cyclingPower","HKQuantityTypeIdentifierCyclingPower","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the estimated power being used while riding a bike.","discrete","power",,"17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cyclingpower"
"cyclingSpeed","HKQuantityTypeIdentifierCyclingSpeed","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures how fast you are traveling while riding a bike.","discrete","distance per time",,"17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/cyclingspeed"
"dietaryBiotin","HKQuantityTypeIdentifierDietaryBiotin","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of biotin (vitamin B7) consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarybiotin"
"dietaryCaffeine","HKQuantityTypeIdentifierDietaryCaffeine","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of caffeine consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarycaffeine"
"dietaryCalcium","HKQuantityTypeIdentifierDietaryCalcium","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of calcium consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarycalcium"
"dietaryCarbohydrates","HKQuantityTypeIdentifierDietaryCarbohydrates","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of carbohydrates consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarycarbohydrates"
"dietaryChloride","HKQuantityTypeIdentifierDietaryChloride","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of chloride consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarychloride"
"dietaryCholesterol","HKQuantityTypeIdentifierDietaryCholesterol","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of cholesterol consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarycholesterol"
"dietaryChromium","HKQuantityTypeIdentifierDietaryChromium","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of chromium consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarychromium"
"dietaryCopper","HKQuantityTypeIdentifierDietaryCopper","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of copper consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarycopper"
"dietaryEnergyConsumed","HKQuantityTypeIdentifierDietaryEnergyConsumed","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of energy consumed.","cumulative","energy",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryenergyconsumed"
"dietaryFatMonounsaturated","HKQuantityTypeIdentifierDietaryFatMonounsaturated","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of monounsaturated fat consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryfatmonounsaturated"
"dietaryFatPolyunsaturated","HKQuantityTypeIdentifierDietaryFatPolyunsaturated","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of polyunsaturated fat consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryfatpolyunsaturated"
"dietaryFatSaturated","HKQuantityTypeIdentifierDietaryFatSaturated","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of saturated fat consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryfatsaturated"
"dietaryFatTotal","HKQuantityTypeIdentifierDietaryFatTotal","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the total amount of fat consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryfattotal"
"dietaryFiber","HKQuantityTypeIdentifierDietaryFiber","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of fiber consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryfiber"
"dietaryFolate","HKQuantityTypeIdentifierDietaryFolate","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of folate (folic acid) consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryfolate"
"dietaryIodine","HKQuantityTypeIdentifierDietaryIodine","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of iodine consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryiodine"
"dietaryIron","HKQuantityTypeIdentifierDietaryIron","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of iron consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryiron"
"dietaryMagnesium","HKQuantityTypeIdentifierDietaryMagnesium","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of magnesium consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarymagnesium"
"dietaryManganese","HKQuantityTypeIdentifierDietaryManganese","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of manganese consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarymanganese"
"dietaryMolybdenum","HKQuantityTypeIdentifierDietaryMolybdenum","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of molybdenum consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarymolybdenum"
"dietaryNiacin","HKQuantityTypeIdentifierDietaryNiacin","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of niacin (vitamin B3) consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryniacin"
"dietaryPantothenicAcid","HKQuantityTypeIdentifierDietaryPantothenicAcid","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of pantothenic acid (vitamin B5) consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarypantothenicacid"
"dietaryPhosphorus","HKQuantityTypeIdentifierDietaryPhosphorus","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of phosphorus consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryphosphorus"
"dietaryPotassium","HKQuantityTypeIdentifierDietaryPotassium","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of potassium consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarypotassium"
"dietaryProtein","HKQuantityTypeIdentifierDietaryProtein","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of protein consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryprotein"
"dietaryRiboflavin","HKQuantityTypeIdentifierDietaryRiboflavin","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of riboflavin (vitamin B2) consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryriboflavin"
"dietarySelenium","HKQuantityTypeIdentifierDietarySelenium","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of selenium consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryselenium"
"dietarySodium","HKQuantityTypeIdentifierDietarySodium","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of sodium consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarysodium"
"dietarySugar","HKQuantityTypeIdentifierDietarySugar","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of sugar consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarysugar"
"dietaryThiamin","HKQuantityTypeIdentifierDietaryThiamin","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of thiamin (vitamin B1) consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarythiamin"
"dietaryVitaminA","HKQuantityTypeIdentifierDietaryVitaminA","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of vitamin A consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitamina"
"dietaryVitaminB12","HKQuantityTypeIdentifierDietaryVitaminB12","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of cyanocobalamin (vitamin B12) consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitaminb12"
"dietaryVitaminB6","HKQuantityTypeIdentifierDietaryVitaminB6","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of pyridoxine (vitamin B6) consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitaminb6"
"dietaryVitaminC","HKQuantityTypeIdentifierDietaryVitaminC","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of vitamin C consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitaminc"
"dietaryVitaminD","HKQuantityTypeIdentifierDietaryVitaminD","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of vitamin D consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitamind"
"dietaryVitaminE","HKQuantityTypeIdentifierDietaryVitaminE","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of vitamin E consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitamine"
"dietaryVitaminK","HKQuantityTypeIdentifierDietaryVitaminK","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of vitamin K consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitamink"
"dietaryWater","HKQuantityTypeIdentifierDietaryWater","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of water consumed.","cumulative","volume",,"9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarywater"
"dietaryZinc","HKQuantityTypeIdentifierDietaryZinc","HKQuantityTypeIdentifier","Nutrition","A quantity sample type that measures the amount of zinc consumed.","cumulative","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryzinc"
"distanceCrossCountrySkiing","HKQuantityTypeIdentifierDistanceCrossCountrySkiing","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the distance the user has moved by cross country skiing.","cumulative","length",,"18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancecrosscountryskiing"
"distanceCycling","HKQuantityTypeIdentifierDistanceCycling","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the distance the user has moved by cycling.","cumulative","length",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancecycling"
"distanceDownhillSnowSports","HKQuantityTypeIdentifierDistanceDownhillSnowSports","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the distance the user has traveled while skiing or snowboarding.","cumulative","length",,"11.2","4.2","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancedownhillsnowsports"
"distancePaddleSports","HKQuantityTypeIdentifierDistancePaddleSports","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the distance the user has moved by paddling sports.","cumulative","length",,"18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancepaddlesports"
"distanceRowing","HKQuantityTypeIdentifierDistanceRowing","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the distance the user has moved by rowing.","cumulative","length",,"18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancerowing"
"distanceSkatingSports","HKQuantityTypeIdentifierDistanceSkatingSports","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the distance the user has moved by skating.","cumulative","length",,"18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distanceskatingsports"
"distanceSwimming","HKQuantityTypeIdentifierDistanceSwimming","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the distance the user has moved while swimming.","cumulative","length",,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distanceswimming"
"distanceWalkingRunning","HKQuantityTypeIdentifierDistanceWalkingRunning","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the distance the user has moved by walking or running.","cumulative","length",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancewalkingrunning"
"distanceWheelchair","HKQuantityTypeIdentifierDistanceWheelchair","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the distance the user has moved using a wheelchair.","cumulative","length",,"10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancewheelchair"
"electrodermalActivity","HKQuantityTypeIdentifierElectrodermalActivity","HKQuantityTypeIdentifier","Lab and test results","A quantity sample type that measures electrodermal activity.","discrete","conductance",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/electrodermalactivity"
"environmentalAudioExposure","HKQuantityTypeIdentifierEnvironmentalAudioExposure","HKQuantityTypeIdentifier","Hearing","A quantity sample type that measures audio exposure to sounds in the environment.","discrete","sound pressure",,"13.0","6.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/environmentalaudioexposure"
"environmentalSoundReduction","HKQuantityTypeIdentifierEnvironmentalSoundReduction","HKQuantityTypeIdentifier","Hearing","A quantity sample type that measures the difference in sound intensity when wearing headphones that lower environmental sound levels.","discrete","sound pressure",,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/environmentalsoundreduction"
"estimatedWorkoutEffortScore","HKQuantityTypeIdentifierEstimatedWorkoutEffortScore","HKQuantityTypeIdentifier","Activity",,,,,"18.0","11.0","no","no","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/estimatedworkouteffortscore"
"flightsClimbed","HKQuantityTypeIdentifierFlightsClimbed","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the number flights of stairs that the user has climbed.","cumulative","count",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/flightsclimbed"
"forcedExpiratoryVolume1","HKQuantityTypeIdentifierForcedExpiratoryVolume1","HKQuantityTypeIdentifier","Lab and test results","A quantity sample type that measures the amount of air that can be forcibly exhaled from the lungs during the first second of a forced exhalation.","discrete","volume",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/forcedexpiratoryvolume1"
"forcedVitalCapacity","HKQuantityTypeIdentifierForcedVitalCapacity","HKQuantityTypeIdentifier","Lab and test results","A quantity sample type that measures the amount of air that can be forcibly exhaled from the lungs after taking the deepest breath possible.","discrete","volume",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/forcedvitalcapacity"
"headphoneAudioExposure","HKQuantityTypeIdentifierHeadphoneAudioExposure","HKQuantityTypeIdentifier","Hearing","A quantity sample type that measures audio exposure from headphones.","discrete","sound pressure",,"13.0","6.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/headphoneaudioexposure"
"heartRate","HKQuantityTypeIdentifierHeartRate","HKQuantityTypeIdentifier","Vital signs","A quantity sample type that measures the user’s heart rate.","discrete","count/time",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/heartrate"
"heartRateRecoveryOneMinute","HKQuantityTypeIdentifierHeartRateRecoveryOneMinute","HKQuantityTypeIdentifier","Vital signs","A quantity sample that records the reduction in heart rate from the peak exercise rate to the rate one minute after exercising ended.","discrete","count",,"16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/heartraterecoveryoneminute"
"heartRateVariabilitySDNN","HKQuantityTypeIdentifierHeartRateVariabilitySDNN","HKQuantityTypeIdentifier","Vital signs","A quantity sample type that measures the standard deviation of heartbeat intervals.","discrete","time",,"11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/heartratevariabilitysdnn"
"height","HKQuantityTypeIdentifierHeight","HKQuantityTypeIdentifier","Body measurements","A quantity sample type that measures the user’s height.","discrete","length",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/height"
"inhalerUsage","HKQuantityTypeIdentifierInhalerUsage","HKQuantityTypeIdentifier","Lab and test results","A quantity sample type that measures the number of puffs the user takes from their inhaler.","cumulative","count",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/inhalerusage"
"insulinDelivery","HKQuantityTypeIdentifierInsulinDelivery","HKQuantityTypeIdentifier","Lab and test results","A quantity sample that measures the amount of insulin delivered.","cumulative","international",,"11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/insulindelivery"
"leanBodyMass","HKQuantityTypeIdentifierLeanBodyMass","HKQuantityTypeIdentifier","Body measurements","A quantity sample type that measures the user’s lean body mass.","discrete","mass",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/leanbodymass"
"nikeFuel","HKQuantityTypeIdentifierNikeFuel","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the number of NikeFuel points the user has earned.","cumulative","count",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/nikefuel"
"numberOfAlcoholicBeverages","HKQuantityTypeIdentifierNumberOfAlcoholicBeverages","HKQuantityTypeIdentifier","Alcohol consumption","A quantity sample type that measures the number of standard alcoholic drinks that the user has consumed.","cumulative","count",,"15.0","8.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/numberofalcoholicbeverages"
"numberOfTimesFallen","HKQuantityTypeIdentifierNumberOfTimesFallen","HKQuantityTypeIdentifier","Lab and test results","A quantity sample type that measures the number of times the user fell.","cumulative","count",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/numberoftimesfallen"
"oxygenSaturation","HKQuantityTypeIdentifierOxygenSaturation","HKQuantityTypeIdentifier","Vital signs","A quantity sample type that measures the user’s oxygen saturation.","discrete","percent",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/oxygensaturation"
"paddleSportsSpeed","HKQuantityTypeIdentifierPaddleSportsSpeed","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the distance the user has moved by paddling sports.","cumulative","distance per time",,"18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/paddlesportsspeed"
"peakExpiratoryFlowRate","HKQuantityTypeIdentifierPeakExpiratoryFlowRate","HKQuantityTypeIdentifier","Lab and test results","A quantity sample type that measures the user’s maximum flow rate generated during a forceful exhalation.","discrete","volume/time",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/peakexpiratoryflowrate"
"peripheralPerfusionIndex","HKQuantityTypeIdentifierPeripheralPerfusionIndex","HKQuantityTypeIdentifier","Lab and test results","A quantity sample type that measures the user’s peripheral perfusion index.","discrete","percent",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/peripheralperfusionindex"
"physicalEffort","HKQuantityTypeIdentifierPhysicalEffort","HKQuantityTypeIdentifier","Activity","A quantity sample type that measures the estimated amount of energy being used to perform a task excluding other factors such as temperature, altitude, or heart rate.","discrete",,,"17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/physicaleffort"
