identifier,objcConstant,group,abstract,aggregation,unitFamily,iosIntroduced,watchosIntroduced,deprecated,appleDocumented,appleDocs
"dietaryCarbohydrates","HKQuantityTypeIdentifierDietaryCarbohydrates","Nutrition","A quantity sample type that measures the amount of carbohydrates consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarycarbohydrates"
"dietaryChloride","HKQuantityTypeIdentifierDietaryChloride","Nutrition","A quantity sample type that measures the amount of chloride consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarychloride"
"dietaryCholesterol","HKQuantityTypeIdentifierDietaryCholesterol","Nutrition","A quantity sample type that measures the amount of cholesterol consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarycholesterol"
"dietaryChromium","HKQuantityTypeIdentifierDietaryChromium","Nutrition","A quantity sample type that measures the amount of chromium consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarychromium"
"dietaryCopper","HKQuantityTypeIdentifierDietaryCopper","Nutrition","A quantity sample type that measures the amount of copper consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarycopper"
"dietaryEnergyConsumed","HKQuantityTypeIdentifierDietaryEnergyConsumed","Nutrition","A quantity sample type that measures the amount of energy consumed.","cumulative","energy","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryenergyconsumed"
"dietaryFatMonounsaturated","HKQuantityTypeIdentifierDietaryFatMonounsaturated","Nutrition","A quantity sample type that measures the amount of monounsaturated fat consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryfatmonounsaturated"
"dietaryFatPolyunsaturated","HKQuantityTypeIdentifierDietaryFatPolyunsaturated","Nutrition","A quantity sample type that measures the amount of polyunsaturated fat consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryfatpolyunsaturated"
"dietaryFatSaturated","HKQuantityTypeIdentifierDietaryFatSaturated","Nutrition","A quantity sample type that measures the amount of saturated fat consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryfatsaturated"
"dietaryFatTotal","HKQuantityTypeIdentifierDietaryFatTotal","Nutrition","A quantity sample type that measures the total amount of fat consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryfattotal"
"dietaryFiber","HKQuantityTypeIdentifierDietaryFiber","Nutrition","A quantity sample type that measures the amount of fiber consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryfiber"
"dietaryFolate","HKQuantityTypeIdentifierDietaryFolate","Nutrition","A quantity sample type that measures the amount of folate (folic acid) consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryfolate"
"dietaryIodine","HKQuantityTypeIdentifierDietaryIodine","Nutrition","A quantity sample type that measures the amount of iodine consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryiodine"
"dietaryIron","HKQuantityTypeIdentifierDietaryIron","Nutrition","A quantity sample type that measures the amount of iron consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryiron"
"dietaryMagnesium","HKQuantityTypeIdentifierDietaryMagnesium","Nutrition","A quantity sample type that measures the amount of magnesium consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarymagnesium"
"dietaryManganese","HKQuantityTypeIdentifierDietaryManganese","Nutrition","A quantity sample type that measures the amount of manganese consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarymanganese"
"dietaryMolybdenum","HKQuantityTypeIdentifierDietaryMolybdenum","Nutrition","A quantity sample type that measures the amount of molybdenum consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarymolybdenum"
"dietaryNiacin","HKQuantityTypeIdentifierDietaryNiacin","Nutrition","A quantity sample type that measures the amount of niacin (vitamin B3) consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryniacin"
"dietaryPantothenicAcid","HKQuantityTypeIdentifierDietaryPantothenicAcid","Nutrition","A quantity sample type that measures the amount of pantothenic acid (vitamin B5) consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarypantothenicacid"
"dietaryPhosphorus","HKQuantityTypeIdentifierDietaryPhosphorus","Nutrition","A quantity sample type that measures the amount of phosphorus consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryphosphorus"
"dietaryPotassium","HKQuantityTypeIdentifierDietaryPotassium","Nutrition","A quantity sample type that measures the amount of potassium consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarypotassium"
"dietaryProtein","HKQuantityTypeIdentifierDietaryProtein","Nutrition","A quantity sample type that measures the amount of protein consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryprotein"
"dietaryRiboflavin","HKQuantityTypeIdentifierDietaryRiboflavin","Nutrition","A quantity sample type that measures the amount of riboflavin (vitamin B2) consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryriboflavin"
"dietarySelenium","HKQuantityTypeIdentifierDietarySelenium","Nutrition","A quantity sample type that measures the amount of selenium consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryselenium"
"dietarySodium","HKQuantityTypeIdentifierDietarySodium","Nutrition","A quantity sample type that measures the amount of sodium consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarysodium"
"dietarySugar","HKQuantityTypeIdentifierDietarySugar","Nutrition","A quantity sample type that measures the amount of sugar consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarysugar"
"dietaryThiamin","HKQuantityTypeIdentifierDietaryThiamin","Nutrition","A quantity sample type that measures the amount of thiamin (vitamin B1) consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarythiamin"
"dietaryVitaminA","HKQuantityTypeIdentifierDietaryVitaminA","Nutrition","A quantity sample type that measures the amount of vitamin A consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitamina"
"dietaryVitaminB12","HKQuantityTypeIdentifierDietaryVitaminB12","Nutrition","A quantity sample type that measures the amount of cyanocobalamin (vitamin B12) consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitaminb12"
"dietaryVitaminB6","HKQuantityTypeIdentifierDietaryVitaminB6","Nutrition","A quantity sample type that measures the amount of pyridoxine (vitamin B6) consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitaminb6"
"dietaryVitaminC","HKQuantityTypeIdentifierDietaryVitaminC","Nutrition","A quantity sample type that measures the amount of vitamin C consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitaminc"
"dietaryVitaminD","HKQuantityTypeIdentifierDietaryVitaminD","Nutrition","A quantity sample type that measures the amount of vitamin D consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitamind"
"dietaryVitaminE","HKQuantityTypeIdentifierDietaryVitaminE","Nutrition","A quantity sample type that measures the amount of vitamin E consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitamine"
"dietaryVitaminK","HKQuantityTypeIdentifierDietaryVitaminK","Nutrition","A quantity sample type that measures the amount of vitamin K consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryvitamink"
"dietaryWater","HKQuantityTypeIdentifierDietaryWater","Nutrition","A quantity sample type that measures the amount of water consumed.","cumulative","volume","9.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietarywater"
"dietaryZinc","HKQuantityTypeIdentifierDietaryZinc","Nutrition","A quantity sample type that measures the amount of zinc consumed.","cumulative","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/dietaryzinc"
"distanceCrossCountrySkiing","HKQuantityTypeIdentifierDistanceCrossCountrySkiing","Activity","A quantity sample type that measures the distance the user has moved by cross country skiing.","cumulative","length","18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancecrosscountryskiing"
"distanceCycling","HKQuantityTypeIdentifierDistanceCycling","Activity","A quantity sample type that measures the distance the user has moved by cycling.","cumulative","length","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancecycling"
"distanceDownhillSnowSports","HKQuantityTypeIdentifierDistanceDownhillSnowSports","Activity","A quantity sample type that measures the distance the user has traveled while skiing or snowboarding.","cumulative","length","11.2","4.2","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancedownhillsnowsports"
"distancePaddleSports","HKQuantityTypeIdentifierDistancePaddleSports","Activity","A quantity sample type that measures the distance the user has moved by paddling sports.","cumulative","length","18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancepaddlesports"
"distanceRowing","HKQuantityTypeIdentifierDistanceRowing","Activity","A quantity sample type that measures the distance the user has moved by rowing.","cumulative","length","18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancerowing"
"distanceSkatingSports","HKQuantityTypeIdentifierDistanceSkatingSports","Activity","A quantity sample type that measures the distance the user has moved by skating.","cumulative","length","18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distanceskatingsports"
"distanceSwimming","HKQuantityTypeIdentifierDistanceSwimming","Activity","A quantity sample type that measures the distance the user has moved while swimming.","cumulative","length","10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distanceswimming"
"distanceWalkingRunning","HKQuantityTypeIdentifierDistanceWalkingRunning","Activity","A quantity sample type that measures the distance the user has moved by walking or running.","cumulative","length","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancewalkingrunning"
"distanceWheelchair","HKQuantityTypeIdentifierDistanceWheelchair","Activity","A quantity sample type that measures the distance the user has moved using a wheelchair.","cumulative","length","10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/distancewheelchair"
"electrodermalActivity","HKQuantityTypeIdentifierElectrodermalActivity","Lab and test results","A quantity sample type that measures electrodermal activity.","discrete","conductance","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/electrodermalactivity"
"environmentalAudioExposure","HKQuantityTypeIdentifierEnvironmentalAudioExposure","Hearing","A quantity sample type that measures audio exposure to sounds in the environment.","discrete","sound pressure","13.0","6.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/environmentalaudioexposure"
"environmentalSoundReduction","HKQuantityTypeIdentifierEnvironmentalSoundReduction","Hearing","A quantity sample type that measures the difference in sound intensity when wearing headphones that lower environmental sound levels.","discrete","sound pressure","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/environmentalsoundreduction"
"estimatedWorkoutEffortScore","HKQuantityTypeIdentifierEstimatedWorkoutEffortScore","Activity",,,,"18.0","11.0","no","no","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/estimatedworkouteffortscore"
"flightsClimbed","HKQuantityTypeIdentifierFlightsClimbed","Activity","A quantity sample type that measures the number flights of stairs that the user has climbed.","cumulative","count","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/flightsclimbed"
"forcedExpiratoryVolume1","HKQuantityTypeIdentifierForcedExpiratoryVolume1","Lab and test results","A quantity sample type that measures the amount of air that can be forcibly exhaled from the lungs during the first second of a forced exhalation.","discrete","volume","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/forcedexpiratoryvolume1"
"forcedVitalCapacity","HKQuantityTypeIdentifierForcedVitalCapacity","Lab and test results","A quantity sample type that measures the amount of air that can be forcibly exhaled from the lungs after taking the deepest breath possible.","discrete","volume","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/forcedvitalcapacity"
"headphoneAudioExposure","HKQuantityTypeIdentifierHeadphoneAudioExposure","Hearing","A quantity sample type that measures audio exposure from headphones.","discrete","sound pressure","13.0","6.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/headphoneaudioexposure"
"heartRate","HKQuantityTypeIdentifierHeartRate","Vital signs","A quantity sample type that measures the user’s heart rate.","discrete",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/heartrate"
"heartRateRecoveryOneMinute","HKQuantityTypeIdentifierHeartRateRecoveryOneMinute","Vital signs","A quantity sample that records the reduction in heart rate from the peak exercise rate to the rate one minute after exercising ended.","discrete","count","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/heartraterecoveryoneminute"
"heartRateVariabilitySDNN","HKQuantityTypeIdentifierHeartRateVariabilitySDNN","Vital signs","A quantity sample type that measures the standard deviation of heartbeat intervals.","discrete","time","11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/heartratevariabilitysdnn"
"height","HKQuantityTypeIdentifierHeight","Body measurements","A quantity sample type that measures the user’s height.","discrete","length","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/height"
"inhalerUsage","HKQuantityTypeIdentifierInhalerUsage","Lab and test results","A quantity sample type that measures the number of puffs the user takes from their inhaler.","cumulative","count","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/inhalerusage"
"insulinDelivery","HKQuantityTypeIdentifierInsulinDelivery","Lab and test results","A quantity sample that measures the amount of insulin delivered.","cumulative","international","11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/insulindelivery"
"leanBodyMass","HKQuantityTypeIdentifierLeanBodyMass","Body measurements","A quantity sample type that measures the user’s lean body mass.","discrete","mass","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/leanbodymass"
"nikeFuel","HKQuantityTypeIdentifierNikeFuel","Activity","A quantity sample type that measures the number of NikeFuel points the user has earned.","cumulative","count","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/nikefuel"
"numberOfAlcoholicBeverages","HKQuantityTypeIdentifierNumberOfAlcoholicBeverages","Alcohol consumption","A quantity sample type that measures the number of standard alcoholic drinks that the user has consumed.","cumulative","count","15.0","8.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/numberofalcoholicbeverages"
"numberOfTimesFallen","HKQuantityTypeIdentifierNumberOfTimesFallen","Lab and test results","A quantity sample type that measures the number of times the user fell.","cumulative","count","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/numberoftimesfallen"
"oxygenSaturation","HKQuantityTypeIdentifierOxygenSaturation","Vital signs","A quantity sample type that measures the user’s oxygen saturation.","discrete","percent","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/oxygensaturation"
"paddleSportsSpeed","HKQuantityTypeIdentifierPaddleSportsSpeed","Activity","A quantity sample type that measures the distance the user has moved by paddling sports.","cumulative","distance per time","18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/paddlesportsspeed"
"peakExpiratoryFlowRate","HKQuantityTypeIdentifierPeakExpiratoryFlowRate","Lab and test results","A quantity sample type that measures the user’s maximum flow rate generated during a forceful exhalation.","discrete",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/peakexpiratoryflowrate"
"peripheralPerfusionIndex","HKQuantityTypeIdentifierPeripheralPerfusionIndex","Lab and test results","A quantity sample type that measures the user’s peripheral perfusion index.","discrete","percent","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/peripheralperfusionindex"
"physicalEffort","HKQuantityTypeIdentifierPhysicalEffort","Activity","A quantity sample type that measures the estimated amount of energy being used to perform a task excluding other factors such as temperature, altitude, or heart rate.","discrete",,"17.0","10.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/physicaleffort"
"pushCount","HKQuantityTypeIdentifierPushCount","Activity","A quantity sample type that measures the number of pushes that the user has performed while using a wheelchair.","cumulative","count","10.0","3.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/pushcount"
"respiratoryRate","HKQuantityTypeIdentifierRespiratoryRate","Vital signs","A quantity sample type that measures the user’s respiratory rate.","discrete",,"8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/respiratoryrate"
"restingHeartRate","HKQuantityTypeIdentifierRestingHeartRate","Vital signs","A quantity sample type that measures the user’s resting heart rate.","discrete",,"11.0","4.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/restingheartrate"
"rowingSpeed","HKQuantityTypeIdentifierRowingSpeed","Activity","A quantity sample type that measures how fast the rower is moving.","discrete","distance per time","18.0","11.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/rowingspeed"
"runningGroundContactTime","HKQuantityTypeIdentifierRunningGroundContactTime","Activity","A quantity sample type that measures the amount of time the runner’s foot is in contact with the ground while running.","discrete","time","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/runninggroundcontacttime"
"runningPower","HKQuantityTypeIdentifierRunningPower","Activity","A quantity sample type that measures the rate of work required for the runner to maintain their speed.","discrete","power","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/runningpower"
"runningSpeed","HKQuantityTypeIdentifierRunningSpeed","Activity","A quantity sample type that measures the runner’s speed.","discrete","distance per time","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/runningspeed"
"runningStrideLength","HKQuantityTypeIdentifierRunningStrideLength","Activity","A quantity sample type that measures the distance covered by a single step while running.","discrete","length","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/runningstridelength"
"runningVerticalOscillation","HKQuantityTypeIdentifierRunningVerticalOscillation","Activity","A quantity sample type measuring pelvis vertical range of motion during a single running stride.","discrete","length","16.0","9.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/runningverticaloscillation"
"sixMinuteWalkTestDistance","HKQuantityTypeIdentifierSixMinuteWalkTestDistance","Mobility","A quantity sample type that stores the distance a user can walk during a six-minute walk test.","discrete","length","14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/sixminutewalktestdistance"
"stairAscentSpeed","HKQuantityTypeIdentifierStairAscentSpeed","Mobility","A quantity sample type measuring the user’s speed while climbing a flight of stairs.","discrete",,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/stairascentspeed"
"stairDescentSpeed","HKQuantityTypeIdentifierStairDescentSpeed","Mobility","A quantity sample type measuring the user’s speed while descending a flight of stairs.","discrete",,"14.0","7.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/stairdescentspeed"
"stepCount","HKQuantityTypeIdentifierStepCount","Activity","A quantity sample type that measures the number of steps the user has taken.","cumulative","count","8.0","2.0","no","yes","https://developer.apple.com/documentation/healthkit/hkquantitytypeidentifier/stepcount"
